index  confidence   rules
 111   1.000        ['March', 'Sunday', 'morning']=>['weekend']
 112   1.000        ['Sunday', 'June', 'afternoon']=>['weekday']
 113   1.000        ['Thursday', 'February', 'afternoon']=>['weekday']
 114   1.000        ['March', 'Monday', 'afternoon']=>['weekday']
 115   1.000        ['August', 'morning', 'Wednesday']=>['weekday']
 116   1.000        ['Monday', 'morning', 'January']=>['weekday']
 117   1.000        ['August', 'morning', 'Tuesday']=>['weekend']
 118   1.000        ['Monday', 'morning', 'November']=>['weekday']
 119   1.000        ['December', 'Monday', 'morning']=>['weekday']
 120   1.000        ['morning', 'Sunday', 'September']=>['weekday']
 121   1.000        ['February', 'Wednesday', 'afternoon']=>['weekday']
 122   1.000        ['March', 'morning', 'Wednesday']=>['weekday']
 123   1.000        ['morning', 'Saturday', 'September']=>['weekday']
 124   1.000        ['December', 'Saturday', 'afternoon']=>['weekend']
 125   1.000        ['March', 'afternoon', 'Friday']=>['weekday']
 126   1.000        ['December', 'Saturday', 'evening']=>['weekend']
 127   1.000        ['December', 'weekend', 'evening']=>['Saturday']
 128   1.000        ['morning', 'Sunday', 'February']=>['weekend']
 129   1.000        ['Thursday', 'March', 'afternoon']=>['weekday']
 130   1.000        ['June', 'afternoon', 'Friday']=>['weekday']
 131   1.000        ['Sunday', 'April', 'afternoon']=>['weekend']
 132   1.000        ['December', 'morning', 'Friday']=>['weekday']
 133   1.000        ['Sunday', 'February', 'afternoon']=>['weekend']
 134   1.000        ['July', 'Sunday', 'morning']=>['weekday']
 135   1.000        ['morning', 'Saturday', 'November']=>['weekend']
 136   1.000        ['Monday', 'May', 'morning']=>['weekday']
 137   1.000        ['March', 'morning', 'Friday']=>['weekday']
 138   1.000        ['August', 'afternoon', 'Thursday']=>['weekday']
 139   1.000        ['Thursday', 'February', 'evening']=>['weekday']
 140   1.000        ['morning', 'February', 'Wednesday']=>['weekday']
 141   1.000        ['December', 'afternoon', 'Tuesday']=>['weekday']
 142   1.000        ['Tuesday', 'November', 'afternoon']=>['weekday']
 143   1.000        ['afternoon', 'January', 'Tuesday']=>['weekday']
 144   1.000        ['September', 'afternoon', 'Friday']=>['weekday']
 145   1.000        ['March', 'morning', 'Tuesday']=>['weekday']
 146   1.000        ['morning', 'November', 'Tuesday']=>['weekday']
 147   1.000        ['March', 'morning', 'Monday']=>['weekday']
 148   1.000        ['December', 'morning', 'Tuesday']=>['weekday']
 149   1.000        ['August', 'afternoon', 'Tuesday']=>['weekend']
 150   1.000        ['Monday', 'January', 'afternoon']=>['weekday']
 151   1.000        ['July', 'morning', 'Tuesday']=>['weekday']
 152   1.000        ['Monday', 'October', 'afternoon']=>['weekday']
 153   1.000        ['Monday', 'May', 'afternoon']=>['weekday']
 154   1.000        ['afternoon', 'May', 'Tuesday']=>['weekend']
 155   1.000        ['morning', 'Sunday', 'November']=>['weekend']
 156   1.000        ['Thursday', 'morning', 'December']=>['weekday']
 157   1.000        ['Thursday', 'morning', 'January']=>['weekday']
 158   1.000        ['August', 'morning', 'Thursday']=>['weekday']
 159   1.000        ['Thursday', 'June', 'afternoon']=>['weekday']
 160   1.000        ['Thursday', 'March', 'morning']=>['weekday']
 161   1.000        ['morning', 'January', 'Saturday']=>['weekend']
 162   1.000        ['April', 'morning', 'Saturday']=>['weekday']
 163   1.000        ['morning', 'Saturday', 'February']=>['weekend']
 164   1.000        ['December', 'afternoon', 'Friday']=>['weekday']
 165   1.000        ['morning', 'Sunday', 'April']=>['weekend']
 166   1.000        ['July', 'morning', 'Saturday']=>['weekend']
 167   1.000        ['July', 'morning', 'weekend']=>['Saturday']
 168   1.000        ['January', 'afternoon', 'Friday']=>['weekday']
 169   1.000        ['Thursday', 'afternoon', 'December']=>['weekday']
 170   1.000        ['morning', 'Wednesday', 'November']=>['weekday']
 171   1.000        ['afternoon', 'July', 'Tuesday']=>['weekday']
 172   1.000        ['March', 'Wednesday', 'afternoon']=>['weekday']
 173   1.000        ['August', 'Wednesday', 'afternoon']=>['weekday']
 174   1.000        ['July', 'Monday', 'afternoon']=>['weekday']
 175   1.000        ['Thursday', 'morning', 'May']=>['weekday']
 176   1.000        ['morning', 'January', 'Tuesday']=>['weekday']
 177   1.000        ['December', 'Wednesday', 'afternoon']=>['weekday']
 178   1.000        ['December', 'Monday', 'afternoon']=>['weekday']
 179   1.000        ['afternoon', 'March', 'Tuesday']=>['weekday']
 180   1.000        ['Monday', 'November', 'afternoon']=>['weekday']
 181   1.000        ['morning', 'Sunday', 'January']=>['weekend']
 182   0.986        ['weekend', 'April', 'evening']=>['Sunday']
 183   0.980        ['Monday', 'evening']=>['weekday']
 184   0.932        ['Thursday', 'morning']=>['weekday']
 185   0.931        ['Thursday', 'afternoon']=>['weekday']
 186   0.929        ['Thursday']=>['weekday']
 187   0.908        ['morning', 'Saturday']=>['weekend']
 188   0.894        ['Monday', 'morning']=>['weekday']
 189   0.893        ['February', 'evening']=>['weekday']
 190   0.893        ['Monday']=>['weekday']
 191   0.890        ['September', 'afternoon']=>['weekday']
 192   0.889        ['Monday', 'afternoon']=>['weekday']
 193   0.884        ['Saturday']=>['weekend']
 194   0.884        ['September']=>['weekday']
 195   0.882        ['afternoon', 'Friday']=>['weekday']
 196   0.881        ['morning', 'Tuesday']=>['weekday']
 197   0.876        ['March', 'morning', 'Saturday']=>['weekend']
 198   0.875        ['Friday']=>['weekday']
