index  confidence   rules
 112   1.000        ['Monday', 'May', 'afternoon']=>['weekday']
 113   1.000        ['Tuesday', 'July', 'morning']=>['weekday']
 114   1.000        ['Monday', 'December', 'afternoon']=>['weekday']
 115   1.000        ['evening', 'Tuesday', 'February']=>['weekday']
 116   1.000        ['Thursday', 'afternoon', 'February']=>['weekday']
 117   1.000        ['September', 'Saturday', 'afternoon']=>['weekday']
 118   1.000        ['Monday', 'March', 'afternoon']=>['weekday']
 119   1.000        ['May', 'afternoon', 'Wednesday']=>['weekend']
 120   1.000        ['November', 'Tuesday', 'afternoon']=>['weekday']
 121   1.000        ['afternoon', 'Tuesday', 'February']=>['weekday']
 122   1.000        ['Sunday', 'April', 'morning']=>['weekend']
 123   1.000        ['Thursday', 'evening', 'February']=>['weekday']
 124   1.000        ['Monday', 'December', 'morning']=>['weekday']
 125   1.000        ['Tuesday', 'August', 'morning']=>['weekend']
 126   1.000        ['Thursday', 'morning', 'February']=>['weekday']
 127   1.000        ['April', 'Saturday', 'morning']=>['weekday']
 128   1.000        ['Tuesday', 'afternoon', 'January']=>['weekday']
 129   1.000        ['Thursday', 'May', 'morning']=>['weekday']
 130   1.000        ['September', 'Friday', 'afternoon']=>['weekday']
 131   1.000        ['Sunday', 'afternoon', 'January']=>['weekend']
 132   1.000        ['Thursday', 'December', 'morning']=>['weekday']
 133   1.000        ['Thursday', 'afternoon', 'January']=>['weekday']
 134   1.000        ['Sunday', 'December', 'morning']=>['weekend']
 135   1.000        ['Sunday', 'July', 'morning']=>['weekday']
 136   1.000        ['September', 'Friday', 'morning']=>['weekday']
 137   1.000        ['Thursday', 'December', 'afternoon']=>['weekday']
 138   1.000        ['Sunday', 'April', 'afternoon']=>['weekend']
 139   1.000        ['Sunday', 'afternoon', 'June']=>['weekday']
 140   1.000        ['Tuesday', 'morning', 'February']=>['weekday']
 141   1.000        ['evening', 'Saturday', 'December']=>['weekend']
 142   1.000        ['evening', 'December', 'weekend']=>['Saturday']
 143   1.000        ['April', 'Saturday', 'afternoon']=>['weekday']
