index  confidence   rules
 111   1.000        ['morning', 'Friday', 'March']=>['weekday']
 112   1.000        ['Tuesday', 'May', 'afternoon']=>['weekend']
 113   1.000        ['Saturday', 'February', 'morning']=>['weekend']
 114   1.000        ['Saturday', 'morning', 'November']=>['weekend']
 115   1.000        ['Sunday', 'afternoon', 'March']=>['weekend']
 116   1.000        ['Sunday', 'morning', 'November']=>['weekend']
 117   1.000        ['afternoon', 'November', 'Monday']=>['weekday']
 118   1.000        ['Thursday', 'August', 'morning']=>['weekday']
 119   1.000        ['Friday', 'March', 'afternoon']=>['weekday']
 120   1.000        ['Thursday', 'February', 'morning']=>['weekday']
 121   1.000        ['Sunday', 'April', 'afternoon']=>['weekend']
 122   1.000        ['May', 'morning', 'Tuesday']=>['weekend']
 123   1.000        ['May', 'morning', 'Monday']=>['weekday']
 124   1.000        ['morning', 'October', 'Monday']=>['weekday']
 125   1.000        ['December', 'morning', 'Wednesday']=>['weekday']
 126   1.000        ['weekend', 'July', 'morning']=>['Saturday']
 127   1.000        ['Saturday', 'July', 'morning']=>['weekend']
 128   1.000        ['Sunday', 'December', 'afternoon']=>['weekend']
 129   1.000        ['Sunday', 'morning', 'March']=>['weekend']
 130   1.000        ['August', 'morning', 'Wednesday']=>['weekday']
 131   1.000        ['February', 'morning', 'Wednesday']=>['weekday']
 132   1.000        ['January', 'afternoon', 'Monday']=>['weekday']
 133   1.000        ['morning', 'Tuesday', 'November']=>['weekday']
 134   1.000        ['August', 'Thursday', 'afternoon']=>['weekday']
 135   1.000        ['February', 'morning', 'Tuesday']=>['weekday']
 136   1.000        ['January', 'morning', 'Friday']=>['weekday']
 137   1.000        ['Thursday', 'January', 'morning']=>['weekday']
 138   1.000        ['Tuesday', 'afternoon', 'March']=>['weekday']
 139   1.000        ['morning', 'Tuesday', 'October']=>['weekday']
 140   1.000        ['Sunday', 'July', 'morning']=>['weekday']
 141   1.000        ['Sunday', 'January', 'afternoon']=>['weekend']
 142   1.000        ['May', 'morning', 'Wednesday']=>['weekend']
 143   1.000        ['morning', 'October', 'Wednesday']=>['weekend']
 144   1.000        ['February', 'evening', 'Tuesday']=>['weekday']
 145   1.000        ['weekend', 'June', 'afternoon']=>['Saturday']
 146   1.000        ['September', 'morning', 'Friday']=>['weekday']
 147   1.000        ['Saturday', 'April', 'morning']=>['weekday']
 148   1.000        ['afternoon', 'March', 'Monday']=>['weekday']
 149   1.000        ['morning', 'November', 'Wednesday']=>['weekday']
 150   1.000        ['Sunday', 'afternoon', 'November']=>['weekend']
